surv,num,modeid,modechos,choiflag,frstpref,rankpref,freq,excpt,timev,timew,apd,op,opb,opw,opc,f1gensvc,f2convac,f3psych,bwlk,stop,trpurpos,age,sex,drivlic,married,famsize,ncars,educ,lres,work,income,ptevop,congevop,freq1,freq2,freqk,busseat,bstdt,cost,nmisop
1,1,1,0,1,1,3,0,0.86,20,0,0,0.9567,0.9567,0,0,0.8518,0.269,0.2856,0.5,2,3,3,1,1,1,4,2,5,5,1,5,1,2,1,1,2,10,1,1.6,0
1,1,2,0,1,0,1,0,0.291,0,30,0,0.2764,0,0.2764,0,-0.8686,0.714,0.1593,0,2,3,3,1,1,1,4,2,5,5,1,5,1,2,0,0,0,0,0,1.6,0
1,1,3,1,1,0,2,8,0.672,10,0,1,-0.4476,0,0,-0.4476,0.8934,0.3652,-0.1535,0,2,3,3,1,1,1,4,2,5,5,1,5,1,2,0,0,0,0,0,-1.8,0
2,2,1,0,1,0,2,1,0.546,10,0,0,999,999,0,0,0.8731,-0.9886,0.6284,1.5,1,4,6,2,1,2,1,1,3,5,0,1,3,2,1,1,2,9,1,0.9,13
2,2,2,0,1,0,1,0,-0.245,0,25,0,999,0,999,0,-1.8514,0.4181,-0.1725,0,1,4,6,2,1,2,1,1,3,5,0,1,3,2,0,0,0,0,0,0.9,13
2,2,3,1,1,1,3,9,0.79,5,0,1,999,0,0,999,0.9501,0.4676,0.3137,0,1,4,6,2,1,2,1,1,3,5,0,1,3,2,0,0,0,0,0,-1.1,13
4,3,1,0,1,0,1,0,0.029,40,0,0,-0.6935,-0.6935,0,0,0.4405,-1.4959,0.4011,3,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,1,1,10,1,-0.9,0
4,3,2,1,1,1,3,28,0.641,0,20,0,1.5718,0,1.5718,0,0.2518,1.0614,0.2532,0,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,0,0,0,0,1.1,0
4,3,3,0,1,0,2,1,-0.088,15,0,0,-0.8043,0,0,-0.8043,0.4653,-1.0675,-2.586,0,1,5,2,2,1,2,0,0,4,2,4,1,2,1,0,0,0,0,0,1.1,0
5,4,1,0,1,0,1,1,0.472,20,0,0,0.537,0.537,0,0,0.5381,-0.7843,1.1734,1.5,2,1,3,1,1,2,3,1,7,5,1,5,1,3,1,0,1,10,1,0.8,1
5,4,2,0,1,0,2,1,0.708,0,20,0,0.06,0,0.06,0,0.1127,1.1533,-0.4739,0,2,1,3,1,1,2,3,1,7,5,1,5,1,3,0,0,0,0,0,1.7,1
5,4,3,1,1,1,3,9,0.782,7,0,1,-0.1735,0,0,-0.1735,0.6785,0.9933,-0.5941,0,2,1,3,1,1,2,3,1,7,5,1,5,1,3,0,0,0,0,0,-1,1
8,5,1,1,1,1,3,5,0.458,5,0,0,999,999,0,0,0.6331,-0.5654,-0.0146,0.5,2,1,6,2,2,1,2,1,7,4,3,4,3,2,1,1,2,10,1,0.7,14
8,5,2,0,1,0,2,3,0.185,0,10,0,999,0,999,0,-0.7335,0.5859,-0.4131,0,2,1,6,2,2,1,2,1,7,4,3,4,3,2,0,0,0,0,0,0.7,14
8,5,3,0,1,0,1,19,0.519,5,0,1,999,0,0,999,0.7275,-0.1392,-0.107,0,2,1,6,2,2,1,2,1,7,4,3,4,3,2,0,0,0,0,0,0.1,14
9,6,1,0,1,0,1,0,0.102,20,0,0,-0.5987,-0.5987,0,0,-0.4904,-0.9286,0.3031,0.5,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,-9,1,0.5,0
9,6,2,0,1,0,2,0,0.27,0,45,0,0.6773,0,0.6773,0,-1.4012,0.7993,0.104,0,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,0,0,1.4,0
9,6,3,1,1,1,3,21,0.69,10,0,0.5,-0.1835,0,0,-0.1835,0.7995,0.5941,0.0461,0,2,4,4,2,1,2,2,1,4,5,1,2,3,3,0,0,0,0,0,-1.3,0
10,7,1,0,1,0,1,3,-30.611,15,0,0,1.6907,1.6907,0,0,0.5323,-0.4413,0.9418,1.5,1,1,2,2,1,1,2,1,6,2,3,4,2,2,1,1,2,10,1,0.5,0
